experiment_id;dataset;model;fine_tuning_strategy;imblearn_strategy;accuracy;precision;recall;f1-score
0;D5;Random Forest;None;None;0.5403726708074534;0.722506003443013;0.5403726708074534;0.546144611419989
0;D3;Random Forest;None;None;0.6299212598425197;0.7247294214916195;0.6299212598425197;0.632265476668314
0;D2;Random Forest;None;None;0.6024844720496895;0.6708250473201888;0.6024844720496895;0.5928023943088772
0;D1;Random Forest;None;None;0.9553398058252427;0.9567317104098703;0.9553398058252427;0.9552416668604936
0;D4;Random Forest;None;None;0.5556805399325084;0.6848913418965188;0.5556805399325084;0.5553337064620132
1;D1;BoW_SVM;None;None;0.7572815533980582;0.756019010452624;0.7572815533980582;0.754345645359184
1;D1;WE_SVM;None;None;0.7029126213592233;0.7008999468562821;0.7029126213592233;0.6991118767704902
1;D1;WE_MLP;None;None;0.6174757281553398;0.5953083516027139;0.6174757281553398;0.59864015995238
1;D1;BERTimbau Base;Full;None;0.8155339805825242;0.8240927561029628;0.8155339805825242;0.8151686968415854
2;D2;WE_MLP;None;None;0.5295031055900621;0.5681614658500226;0.5295031055900621;0.5232851181001751
2;D2;WE_SVM;None;None;0.5885093167701864;0.6543477891033183;0.5885093167701864;0.5983024133030569
2;D2;BoW_SVM;None;None;0.5978260869565217;0.6946078272368204;0.5978260869565217;0.6089037737263009
2;D2;BERTimbau Base;Full;None;0.8198757763975155;0.8280886838969354;0.8198757763975155;0.8158624476906566
3;D3;WE_SVM;None;None;0.7705286839145107;0.7687291564974993;0.7705286839145107;0.7659291754319318
3;D3;WE_MLP;None;None;0.6805399325084365;0.6584513125179994;0.6805399325084365;0.649670480641482
3;D3;BERTimbau Base;Full;None;0.8683914510686164;0.869390215245442;0.8683914510686164;0.8675184655263599
3;D3;BoW_SVM;None;None;0.7694038245219348;0.7710719953914473;0.7694038245219348;0.7696763716800893
4;D4;BoW_SVM;None;None;0.718785151856018;0.7364785465667943;0.718785151856018;0.7194003447035316
4;D4;WE_SVM;None;None;0.7311586051743532;0.7326536893149109;0.7311586051743532;0.7265347538121303
4;D4;WE_MLP;None;None;0.6074240719910011;0.6499847306583327;0.6074240719910011;0.5864718126257499
4;D4;BERTimbau Base;Full;None;0.843644544431946;0.8498592118792331;0.843644544431946;0.8429732015297515
5;D1;BERTimbau Base;Full;Under;0.7669902912621359;0.7820605216578332;0.7669902912621359;0.7659224627324145
5;D1;WE_MLP;None;Under;0.3320388349514563;0.39076532749846565;0.3320388349514563;0.33338684336615004
5;D1;WE_SVM;None;Under;0.6446601941747573;0.6752846688319045;0.6446601941747573;0.6489979135664511
5;D1;BoW_SVM;None;Under;0.7436893203883496;0.7650014903069524;0.7436893203883496;0.745422318304619
6;D2;BoW_SVM;None;Under;0.5854037267080745;0.6739466591959962;0.5854037267080745;0.6114457107697364
6;D2;BERTimbau Base;Full;Under;0.8012422360248447;0.808682232652267;0.8012422360248447;0.7980812042693164
6;D2;WE_SVM;None;Under;0.4782608695652174;0.5927123470989674;0.4782608695652174;0.4795597766569539
6;D2;WE_MLP;None;Under;0.38975155279503104;0.4221454463128617;0.38975155279503104;0.3798523776145933
7;D3;BoW_SVM;None;Under;0.7334083239595051;0.7504703729608518;0.7334083239595051;0.7379380509624417
7;D3;WE_MLP;None;Under;0.21147356580427445;0.22224816582701948;0.21147356580427445;0.16635187018711256
7;D3;BERTimbau Base;Full;Under;0.8357705286839145;0.8438470762580388;0.8357705286839145;0.8354467811826383
7;D3;WE_SVM;None;Under;0.655793025871766;0.6810091090858813;0.655793025871766;0.66318425011538
8;D4;BoW_SVM;None;Under;0.6782902137232846;0.6970995696988861;0.6782902137232846;0.6810246847369803
8;D4;WE_SVM;None;Under;0.6456692913385826;0.660672305279542;0.6456692913385826;0.646945976957949
8;D4;BERTimbau Base;Full;Under;0.8188976377952756;0.8242283038677592;0.8188976377952756;0.8182627810099363
8;D4;WE_MLP;None;Under;0.16760404949381327;0.2289651616423675;0.16760404949381327;0.12435041031562641
9;D1;BoW_SVM;None;Over;0.7572815533980582;0.756019010452624;0.7572815533980582;0.754345645359184
9;D1;WE_SVM;None;Over;0.7009708737864078;0.7117463134372004;0.7009708737864078;0.7046576062144603
9;D1;WE_MLP;None;Over;0.6796116504854369;0.6871047858529042;0.6796116504854369;0.6713550112976391
9;D1;BERTimbau Base;Full;Over;0.7786407766990291;0.7857152781535088;0.7786407766990291;0.7798729084899018
10;D2;BERTimbau Base;Full;Over;0.812111801242236;0.8217160278618834;0.812111801242236;0.8129793292575492
10;D2;WE_MLP;None;Over;0.6024844720496895;0.6258419859337394;0.6024844720496895;0.6027146063101645
10;D2;WE_SVM;None;Over;0.5885093167701864;0.6419621952651308;0.5885093167701864;0.5988800351007378
10;D2;BoW_SVM;None;Over;0.5978260869565217;0.6946078272368204;0.5978260869565217;0.6089037737263009
11;D3;WE_SVM;None;Over;0.7086614173228346;0.724616107608873;0.7086614173228346;0.7131304566328566
